date,store_id,sku,quantity_on_hand,quantity_sold,status,days_of_supply,value_on_hand
2024-06-01,ST003,SKU01040,72,1,In Stock,24,26092.8
2024-06-01,ST003,SKU01041,9,9,Low Stock,1,1396.53
2024-06-01,ST003,SKU01043,130,13,Overstock,9,37267.1
2024-06-01,ST003,SKU01044,64,16,Overstock,3,41560.96
2024-06-01,ST003,SKU01045,0,10,Out of Stock,0,0.0
2024-06-01,ST003,SKU01046,80,2,Overstock,22,60521.6
2024-06-01,ST003,SKU01047,58,5,In Stock,7,37858.92
2024-06-01,ST003,SKU01049,33,10,In Stock,3,7370.22
2024-06-01,ST003,SKU01050,87,1,Overstock,23,13780.8
2024-06-01,ST004,SKU01001,0,14,Out of Stock,0,0.0
2024-06-01,ST004,SKU01002,25,13,Low Stock,2,12427.25
2024-06-01,ST004,SKU01003,22,15,In Stock,1,13913.68
2024-06-01,ST004,SKU01004,53,14,In Stock,3,40010.76
2024-06-01,ST004,SKU01005,71,10,In Stock,9,47562.19
2024-06-01,ST004,SKU01006,136,11,Overstock,13,62942.16
2024-06-01,ST004,SKU01007,91,6,In Stock,11,67254.46
2024-06-01,ST004,SKU01008,0,19,Out of Stock,0,0.0
2024-06-01,ST004,SKU01010,12,4,Low Stock,3,1324.56
2024-06-01,ST004,SKU01011,92,20,In Stock,6,54196.28
2024-06-01,ST004,SKU01013,17,8,Low Stock,2,1770.72
2024-06-01,ST004,SKU01014,2,4,Low Stock,0,356.78
2024-06-01,ST004,SKU01015,69,6,In Stock,11,48282.06
2024-06-01,ST004,SKU01016,31,20,Low Stock,1,8309.24
2024-06-01,ST004,SKU01018,6,7,Low Stock,0,423.72
2024-06-01,ST004,SKU01020,48,5,In Stock,9,37862.88
2024-06-01,ST004,SKU01021,70,3,In Stock,16,55094.9
2024-06-01,ST004,SKU01022,143,4,Overstock,28,78435.5
2024-06-01,ST004,SKU01023,62,6,In Stock,16,19942.3
2024-06-01,ST004,SKU01024,100,6,Overstock,10,19827.0
2024-06-01,ST004,SKU01025,8,9,Low Stock,0,2275.52
2024-06-01,ST004,SKU01027,25,14,Low Stock,1,13992.0
2024-06-01,ST004,SKU01028,19,21,Low Stock,1,5811.15
2024-06-01,ST004,SKU01029,104,6,Overstock,31,49930.4
2024-06-01,ST004,SKU01030,104,4,Overstock,35,56343.04
2024-06-01,ST004,SKU01031,33,3,In Stock,9,24867.48
2024-06-01,ST004,SKU01032,108,10,Overstock,12,83334.96
2024-06-01,ST004,SKU01033,7,9,Low Stock,0,2295.02
2024-06-01,ST004,SKU01034,135,3,Overstock,35,17451.45
2024-06-01,ST004,SKU01035,11,13,Low Stock,1,2739.0
2024-06-01,ST004,SKU01036,69,14,Overstock,4,11835.57
2024-06-01,ST004,SKU01037,46,18,In Stock,2,4292.26
2024-06-01,ST004,SKU01038,0,15,Out of Stock,0,0.0
2024-06-01,ST004,SKU01040,56,4,In Stock,9,20294.4
2024-06-01,ST004,SKU01041,143,5,Overstock,50,22189.31
2024-06-01,ST004,SKU01042,56,11,In Stock,4,23689.12
2024-06-01,ST004,SKU01043,87,9,In Stock,10,24940.29
2024-06-01,ST004,SKU01044,12,5,Low Stock,4,7792.68
2024-06-01,ST004,SKU01045,48,8,Overstock,6,14985.6
2024-06-01,ST004,SKU01047,0,21,Out of Stock,0,0.0
2024-06-01,ST004,SKU01048,89,12,Overstock,6,6594.9
2024-06-01,ST004,SKU01049,66,17,In Stock,3,14740.44
2024-06-01,ST004,SKU01050,88,3,Overstock,8,13939.2
2024-06-01,ST005,SKU01000,103,10,In Stock,6,66053.9
2024-06-01,ST005,SKU01001,52,10,In Stock,6,27439.88
2024-06-01,ST005,SKU01002,80,5,In Stock,13,39767.2
2024-06-01,ST005,SKU01003,110,16,Overstock,10,69568.4
2024-06-01,ST005,SKU01004,79,16,In Stock,5,59638.68
2024-06-01,ST005,SKU01005,27,9,Low Stock,2,18087.03
2024-06-01,ST005,SKU01006,57,6,In Stock,6,26380.17
2024-06-01,ST005,SKU01008,109,14,In Stock,6,14161.28
2024-06-01,ST005,SKU01009,115,15,Overstock,8,3562.7
2024-06-01,ST005,SKU01010,81,9,Overstock,6,8940.78
2024-06-01,ST005,SKU01011,0,6,Out of Stock,0,0.0
2024-06-01,ST005,SKU01012,0,7,Out of Stock,0,0.0
2024-06-01,ST005,SKU01013,0,11,Out of Stock,0,0.0
2024-06-01,ST005,SKU01015,0,15,Out of Stock,0,0.0
2024-06-01,ST005,SKU01016,100,16,In Stock,6,26804.0
2024-06-01,ST005,SKU01017,42,16,In Stock,3,18336.78
2024-06-01,ST005,SKU01018,61,13,Overstock,4,4307.82
2024-06-01,ST005,SKU01020,34,7,In Stock,3,26819.54
2024-06-01,ST005,SKU01021,64,11,In Stock,7,50372.48
2024-06-01,ST005,SKU01022,98,15,Overstock,8,53753.0
2024-06-01,ST005,SKU01023,90,8,In Stock,14,28948.5
2024-06-01,ST005,SKU01024,46,5,Overstock,13,9120.42
2024-06-01,ST005,SKU01025,48,6,In Stock,11,13653.12
2024-06-01,ST005,SKU01027,57,16,In Stock,3,31901.76
2024-06-01,ST005,SKU01028,5,3,Low Stock,1,1529.25
2024-06-01,ST005,SKU01029,61,3,In Stock,16,29286.1
2024-06-01,ST005,SKU01030,102,8,Overstock,13,55259.52
2024-06-01,ST005,SKU01031,108,3,Overstock,38,81384.48
2024-06-01,ST005,SKU01032,121,10,Overstock,18,93366.02
2024-06-01,ST005,SKU01033,47,6,Low Stock,5,15409.42
2024-06-01,ST005,SKU01035,74,11,Overstock,5,18426.0
2024-06-01,ST005,SKU01036,83,7,Overstock,9,14236.99
2024-06-01,ST005,SKU01038,79,11,Overstock,10,3972.91
2024-06-01,ST005,SKU01039,60,23,Overstock,3,26502.0
2024-06-01,ST005,SKU01040,50,12,In Stock,4,18120.0
2024-06-01,ST005,SKU01041,121,14,Overstock,8,18775.57
2024-06-01,ST005,SKU01042,16,11,Low Stock,1,6768.32
2024-06-01,ST005,SKU01044,74,4,Overstock,17,48054.86
2024-06-01,ST005,SKU01045,97,11,Overstock,8,30283.4
2024-06-01,ST005,SKU01046,60,24,In Stock,3,45391.2
2024-06-01,ST005,SKU01048,130,3,Overstock,53,9633.0
2024-06-01,ST005,SKU01049,106,8,Overstock,26,23674.04
2024-06-01,ST006,SKU01000,128,4,In Stock,45,82086.4
2024-06-01,ST006,SKU01001,0,13,Out of Stock,0,0.0
2024-06-01,ST006,SKU01002,128,15,Overstock,9,63627.52
2024-06-01,ST006,SKU01003,117,18,Overstock,6,73995.48
2024-06-01,ST006,SKU01004,28,10,In Stock,4,21137.76
2024-06-01,ST006,SKU01005,44,7,Low Stock,7,29475.16
2024-06-01,ST006,SKU01006,51,10,In Stock,8,23603.31
2024-06-01,ST006,SKU01007,37,5,Low Stock,7,27345.22
2024-06-01,ST006,SKU01008,3,15,Low Stock,0,389.76
2024-06-01,ST006,SKU01009,120,15,Overstock,10,3717.6
2024-06-01,ST006,SKU01011,120,8,In Stock,9,70690.8
2024-06-01,ST006,SKU01012,31,3,Low Stock,9,18071.45
2024-06-01,ST006,SKU01013,74,8,Overstock,6,7707.84
2024-06-01,ST006,SKU01014,111,6,Overstock,19,19801.29
2024-06-01,ST006,SKU01015,130,11,Overstock,12,90966.2
2024-06-01,ST006,SKU01016,63,17,In Stock,3,16886.52
2024-06-01,ST006,SKU01017,48,8,In Stock,6,20956.32
2024-06-01,ST006,SKU01018,83,12,Overstock,7,5861.46
2024-06-01,ST006,SKU01019,146,3,Overstock,58,72337.16
2024-06-01,ST006,SKU01020,108,5,In Stock,13,85191.48
2024-06-01,ST006,SKU01021,139,1,Overstock,56,109402.73
2024-06-01,ST006,SKU01022,59,7,Overstock,8,32361.5
2024-06-01,ST006,SKU01023,13,2,Low Stock,5,4181.45
2024-06-01,ST006,SKU01024,16,7,In Stock,2,3172.32
2024-06-01,ST006,SKU01025,76,15,Overstock,6,21617.44
2024-06-01,ST006,SKU01027,66,6,In Stock,7,36938.88
2024-06-01,ST006,SKU01028,0,16,Out of Stock,0,0.0
2024-06-01,ST006,SKU01029,8,6,Low Stock,0,3840.8
2024-06-01,ST006,SKU01030,97,1,Overstock,19,52550.72
2024-06-01,ST006,SKU01031,65,4,In Stock,20,48981.4
2024-06-01,ST006,SKU01032,23,19,Low Stock,1,17747.26
2024-06-01,ST006,SKU01033,114,9,Overstock,12,37376.04
2024-06-01,ST006,SKU01034,109,13,Overstock,9,14090.43
2024-06-01,ST006,SKU01035,8,3,Low Stock,2,1992.0
2024-06-01,ST006,SKU01036,121,9,Overstock,12,20755.13
2024-06-01,ST006,SKU01038,46,3,Low Stock,5,2313.34
2024-06-01,ST006,SKU01039,58,5,Overstock,11,25618.6
2024-06-01,ST006,SKU01040,0,22,Out of Stock,0,0.0
2024-06-01,ST006,SKU01041,17,9,Low Stock,1,2637.89
2024-06-01,ST006,SKU01042,10,15,Low Stock,0,4230.2
2024-06-01,ST006,SKU01043,17,11,Low Stock,1,4873.39
2024-06-01,ST006,SKU01044,72,14,Overstock,5,46756.08
2024-06-01,ST006,SKU01045,82,7,Overstock,16,25600.4
2024-06-01,ST006,SKU01046,132,11,Overstock,11,99860.64
2024-06-01,ST006,SKU01049,97,15,Overstock,9,21663.98
2024-06-01,ST006,SKU01050,92,14,Overstock,10,14572.8
2024-06-01,ST007,SKU01000,62,23,In Stock,3,39760.6
2024-06-01,ST007,SKU01002,6,11,Low Stock,0,2982.54
2024-06-01,ST007,SKU01003,9,17,Low Stock,0,5691.96
2024-06-01,ST007,SKU01004,116,14,Overstock,11,87570.72
2024-06-01,ST007,SKU01005,13,21,Low Stock,0,8708.57
2024-06-01,ST007,SKU01006,137,2,Overstock,53,63404.97
2024-06-01,ST007,SKU01007,126,14,In Stock,10,93121.56
2024-06-01,ST007,SKU01008,99,9,In Stock,10,12862.08
2024-06-01,ST007,SKU01009,102,4,Overstock,17,3159.96
2024-06-01,ST007,SKU01010,7,10,Low Stock,0,772.66
2024-06-01,ST007,SKU01011,47,12,In Stock,3,27687.23
2024-06-01,ST007,SKU01012,6,11,Low Stock,0,3497.7
2024-06-01,ST007,SKU01013,69,16,Overstock,6,7187.04
2024-06-01,ST007,SKU01014,53,5,In Stock,18,9454.67
2024-06-01,ST007,SKU01015,54,9,In Stock,4,37785.96
2024-06-01,ST007,SKU01016,67,19,In Stock,4,17958.68
2024-06-01,ST007,SKU01017,95,2,In Stock,36,41476.05
2024-06-01,ST007,SKU01018,134,4,Overstock,25,9463.08
2024-06-01,ST007,SKU01019,83,21,Overstock,6,41123.18
2024-06-01,ST007,SKU01020,46,14,In Stock,3,36285.26
2024-06-01,ST007,SKU01021,118,6,Overstock,10,92874.26
2024-06-01,ST007,SKU01023,9,19,Low Stock,0,2894.85
2024-06-01,ST007,SKU01024,15,10,In Stock,1,2974.05
2024-06-01,ST007,SKU01026,135,10,Overstock,18,85396.95
2024-06-01,ST007,SKU01027,62,12,In Stock,4,34700.16
2024-06-01,ST007,SKU01028,100,4,Overstock,24,30585.0
2024-06-01,ST007,SKU01029,76,2,Overstock,34,36487.6
2024-06-01,ST007,SKU01030,138,4,Overstock,44,74762.88
2024-06-01,ST007,SKU01032,82,12,Overstock,5,63272.84
2024-06-01,ST007,SKU01033,105,3,Overstock,28,34425.3
2024-06-01,ST007,SKU01034,127,11,Overstock,16,16417.29
2024-06-01,ST007,SKU01035,45,4,In Stock,6,11205.0
2024-06-01,ST007,SKU01036,0,22,Out of Stock,0,0.0
2024-06-01,ST007,SKU01038,132,15,Overstock,10,6638.28
2024-06-01,ST007,SKU01039,87,23,Overstock,4,38427.9
2024-06-01,ST007,SKU01040,99,9,In Stock,7,35877.6
2024-06-01,ST007,SKU01041,49,7,In Stock,7,7603.33
2024-06-01,ST007,SKU01042,6,13,Low Stock,0,2538.12
2024-06-01,ST007,SKU01044,89,10,Overstock,13,57795.71
2024-06-01,ST007,SKU01045,127,11,Overstock,21,39649.4
2024-06-01,ST007,SKU01046,73,15,Overstock,6,55225.96
2024-06-01,ST007,SKU01047,64,14,In Stock,4,41775.36
2024-06-01,ST007,SKU01048,92,16,Overstock,7,6817.2
2024-06-01,ST007,SKU01049,122,3,Overstock,12,27247.48
2024-06-01,ST008,SKU01001,83,10,In Stock,6,43798.27
2024-06-01,ST008,SKU01002,88,15,In Stock,6,43743.92
2024-06-01,ST008,SKU01003,109,11,Overstock,11,68935.96
2024-06-01,ST008,SKU01004,58,14,In Stock,6,43785.36
2024-06-01,ST008,SKU01005,103,13,In Stock,6,68998.67
2024-06-01,ST008,SKU01006,6,13,Low Stock,0,2776.86
2024-06-01,ST008,SKU01007,22,6,Low Stock,3,16259.32
2024-06-01,ST008,SKU01008,56,5,In Stock,4,7275.52
2024-06-01,ST008,SKU01009,138,1,Overstock,29,4275.24
2024-06-01,ST008,SKU01011,72,8,In Stock,14,42414.48
2024-06-01,ST008,SKU01012,109,18,Overstock,5,63541.55
2024-06-01,ST008,SKU01013,50,8,Overstock,5,5208.0
2024-06-01,ST008,SKU01014,56,16,In Stock,3,9989.84
2024-06-01,ST008,SKU01015,58,11,In Stock,5,40584.92
2024-06-01,ST008,SKU01016,116,11,In Stock,7,31092.64
2024-06-01,ST008,SKU01018,66,11,Overstock,10,4660.92
2024-06-01,ST008,SKU01019,74,13,Overstock,6,36664.04
2024-06-01,ST008,SKU01020,51,12,In Stock,5,40229.31
2024-06-01,ST008,SKU01021,0,15,Out of Stock,0,0.0
2024-06-01,ST008,SKU01022,117,6,Overstock,12,64174.5
2024-06-01,ST008,SKU01023,24,7,In Stock,3,7719.6
2024-06-01,ST008,SKU01024,122,5,Overstock,44,24188.94
2024-06-01,ST008,SKU01025,48,10,In Stock,4,13653.12
2024-06-01,ST008,SKU01026,69,6,Overstock,12,43647.33
2024-06-01,ST008,SKU01027,19,5,Low Stock,2,10633.92
2024-06-01,ST008,SKU01029,10,4,Low Stock,1,4801.0
2024-06-01,ST008,SKU01030,82,5,Overstock,18,44424.32
2024-06-01,ST008,SKU01031,24,5,In Stock,9,18085.44
2024-06-01,ST008,SKU01032,47,3,In Stock,8,36266.14
2024-06-01,ST008,SKU01033,76,13,In Stock,5,24917.36
2024-06-01,ST008,SKU01034,69,8,Overstock,8,8919.63
2024-06-01,ST008,SKU01036,110,4,Overstock,19,18868.3
2024-06-01,ST008,SKU01037,74,12,In Stock,8,6904.94
2024-06-01,ST008,SKU01038,102,9,Overstock,8,5129.58
2024-06-01,ST008,SKU01040,49,11,In Stock,4,17757.6
2024-06-01,ST008,SKU01041,101,17,Overstock,9,15672.17
2024-06-01,ST008,SKU01042,137,6,Overstock,14,57953.74
2024-06-01,ST008,SKU01043,123,2,Overstock,22,35260.41
2024-06-01,ST008,SKU01044,10,15,Low Stock,0,6493.9
2024-06-01,ST008,SKU01045,134,10,Overstock,19,41834.8
2024-06-01,ST008,SKU01046,35,8,In Stock,5,26478.2
2024-06-01,ST008,SKU01047,59,2,In Stock,20,38511.66
2024-06-01,ST008,SKU01048,118,2,Overstock,23,8743.8
2024-06-01,ST008,SKU01049,125,13,Overstock,7,27917.5
2024-06-01,ST008,SKU01050,127,3,Overstock,30,20116.8
2024-06-02,ST001,SKU01000,22,10,Low Stock,2,14108.6
2024-06-02,ST001,SKU01001,95,7,Overstock,12,50130.55
2024-06-02,ST001,SKU01002,65,10,In Stock,18,32310.85
2024-06-02,ST001,SKU01003,142,6,Overstock,51,89806.48
2024-06-02,ST001,SKU01004,75,12,In Stock,5,56619.0
2024-06-02,ST001,SKU01005,24,10,Low Stock,1,16077.36
2024-06-02,ST001,SKU01006,100,8,Overstock,6,46281.0
2024-06-02,ST001,SKU01007,80,3,In Stock,15,59124.8
2024-06-02,ST001,SKU01008,39,5,In Stock,10,5066.88
2024-06-02,ST001,SKU01009,55,11,In Stock,4,1703.9
2024-06-02,ST001,SKU01010,46,6,In Stock,16,5077.48
2024-06-02,ST001,SKU01011,40,8,Low Stock,3,23563.6
2024-06-02,ST001,SKU01013,140,9,Overstock,26,14582.4
2024-06-02,ST001,SKU01014,56,5,In Stock,10,9989.84
2024-06-02,ST001,SKU01015,133,11,Overstock,17,93065.42
2024-06-02,ST001,SKU01016,131,8,Overstock,18,35113.24
2024-06-02,ST001,SKU01017,58,9,In Stock,10,25322.22
2024-06-02,ST001,SKU01018,64,17,Overstock,5,4519.68
2024-06-02,ST001,SKU01019,35,7,Overstock,10,17341.1
2024-06-02,ST001,SKU01020,104,13,In Stock,7,82036.24
2024-06-02,ST001,SKU01021,39,0,In Stock,17,30695.73
2024-06-02,ST001,SKU01023,98,6,In Stock,39,31521.7
2024-06-02,ST001,SKU01025,72,6,Overstock,18,20479.68
2024-06-02,ST001,SKU01026,5,11,Low Stock,0,3162.85
2024-06-02,ST001,SKU01027,82,11,Overstock,6,45893.76
2024-06-02,ST001,SKU01028,1,7,Low Stock,0,305.85
2024-06-02,ST001,SKU01029,5,11,Low Stock,0,2400.5
2024-06-02,ST001,SKU01030,20,13,Low Stock,2,10835.2
2024-06-02,ST001,SKU01032,103,20,Overstock,7,79476.86
2024-06-02,ST001,SKU01033,124,4,Overstock,43,40654.64
2024-06-02,ST001,SKU01034,72,3,Overstock,15,9307.44
2024-06-02,ST001,SKU01035,74,14,Overstock,5,18426.0
2024-06-02,ST001,SKU01036,107,7,Overstock,10,18353.71
2024-06-02,ST001,SKU01037,25,7,Low Stock,2,2332.75
2024-06-02,ST001,SKU01038,115,19,Overstock,6,5783.35
2024-06-02,ST001,SKU01039,7,7,Low Stock,0,3091.9
2024-06-02,ST001,SKU01040,88,3,In Stock,28,31891.2
2024-06-02,ST001,SKU01041,8,5,Low Stock,1,1241.36
2024-06-02,ST001,SKU01042,0,20,Out of Stock,0,0.0
2024-06-02,ST001,SKU01043,77,9,In Stock,9,22073.59
2024-06-02,ST001,SKU01046,125,13,Overstock,10,94565.0
2024-06-02,ST001,SKU01047,109,27,In Stock,5,71148.66
2024-06-02,ST001,SKU01048,122,2,Overstock,27,9040.2
2024-06-02,ST001,SKU01049,87,13,Overstock,4,19430.58
2024-06-02,ST001,SKU01050,123,12,Overstock,9,19483.2
2024-06-02,ST002,SKU01000,68,5,In Stock,12,43608.4
2024-06-02,ST002,SKU01001,125,6,Overstock,12,65961.25
2024-06-02,ST002,SKU01002,98,15,In Stock,6,48714.82
2024-06-02,ST002,SKU01003,7,10,Low Stock,0,4427.08
2024-06-02,ST002,SKU01004,0,12,Out of Stock,0,0.0
2024-06-02,ST002,SKU01006,90,8,In Stock,10,41652.9
2024-06-02,ST002,SKU01007,57,4,In Stock,7,42126.42
2024-06-02,ST002,SKU01008,133,7,In Stock,18,17279.36
2024-06-02,ST002,SKU01009,70,19,In Stock,5,2168.6
2024-06-02,ST002,SKU01010,56,2,In Stock,17,6181.28
2024-06-02,ST002,SKU01011,64,3,In Stock,25,37701.76
2024-06-02,ST002,SKU01012,26,16,Low Stock,1,15156.7
2024-06-02,ST002,SKU01014,29,7,Low Stock,3,5173.31
2024-06-02,ST002,SKU01016,108,10,In Stock,5,28948.32
2024-06-02,ST002,SKU01017,76,4,In Stock,13,33180.84
2024-06-02,ST002,SKU01018,62,15,Overstock,5,4378.44
2024-06-02,ST002,SKU01020,31,0,In Stock,11,24453.11
2024-06-02,ST002,SKU01021,40,8,In Stock,5,31482.8
2024-06-02,ST002,SKU01022,80,8,Overstock,6,43880.0
2024-06-02,ST002,SKU01023,24,18,In Stock,2,7719.6
2024-06-02,ST002,SKU01024,25,4,In Stock,6,4956.75
2024-06-02,ST002,SKU01025,16,6,Low Stock,4,4551.04
2024-06-02,ST002,SKU01026,8,1,Low Stock,2,5060.56
2024-06-02,ST002,SKU01027,103,3,Overstock,16,57647.04
2024-06-02,ST002,SKU01028,106,6,Overstock,24,32420.1
